	k
0	0.0683977725
1	0.06863551325103205
2	0.06887408035448228
3	0.06911347668263194
4	0.06935370511774608
5	0.06959476855210789
6	0.06983666988805391
7	0.07007941203800862
8	0.0703229979245198
9	0.07056743048029347
10	0.07081271264822941
11	0.07105884738145639
12	0.0713058376433679
13	0.07155368640765779
14	0.07180239665835592
15	0.07205197138986433
16	0.07230241360699305
17	0.07255372632499653
18	0.07280591256960967
19	0.0730589753770845
20	0.07331291779422652
21	0.07356774287843161
22	0.07382345369772256
23	0.07408005333078632
24	0.07433754486701076
25	0.07459593140652215
26	0.0748552160602223
27	0.075115401949826
28	0.07537649220789877
29	0.07563848997789438
30	0.07590139841419291
31	0.07616522068213845
32	0.07642995995807753
33	0.07669561942939705
34	0.07696220229456295
35	0.07722971176315843
36	0.07749815105592286
37	0.0777675234047904
38	0.07803783205292887
39	0.07830908025477899
40	0.07858127127609332
41	0.07885440839397584
42	0.07912849489692111
43	0.0794035340848542
44	0.07967952926917007
45	0.07995648377277376
46	0.08023440093012009
47	0.0805132840872541
48	0.08079313660185117
49	0.08107396184325737
50	0.08135576319253028
51	0.08163854404247942
52	0.08192230779770734
53	0.08220705787465035
54	0.08249279770161996
55	0.08277953071884385
56	0.08306726037850758
57	0.0833559901447958
58	0.08364572349393438
59	0.083936463914232
60	0.08422821490612203
61	0.08452097998220508
62	0.08481476266729082
63	0.08510956649844087
64	0.08540539502501096
65	0.08570225180869405
66	0.08600014042356285
67	0.08629906445611323
68	0.08659902750530696
69	0.08690003318261552
70	0.08720208511206315
71	0.08750518693027079
72	0.08780934228649977
73	0.08811455484269555
74	0.0884208282735322
75	0.08872816626645624
76	0.0890365725217314
77	0.08934605075248278
78	0.089656604684742
79	0.08996823805749159
80	0.09028095462271045
81	0.09059475814541863
82	0.09090965240372305
83	0.09122564118886256
84	0.09154272830525396
85	0.09186091757053767
86	0.09218021281562351
87	0.09250061788473718
88	0.09282213663546617
89	0.09314477293880659
90	0.09346853067920934
91	0.09379341375462732
92	0.09411942607656201
93	0.0944465715701108
94	0.09477485417401402
95	0.09510427784070262
96	0.09543484653634564
97	0.09576656424089777
98	0.09609943494814768
99	0.09643346266576565
100	0.09676865141535225
101	0.09710500523248634
102	0.09744252816677408
103	0.09778122428189728
104	0.09812109765566271
105	0.09846215238005078
106	0.09880439256126525
107	0.09914782231978236
108	0.09949244579040047
109	0.09983826712229002
110	0.1001852904790432
111	0.10053352003872448
112	0.10088295999392043
113	0.1012336145517906
114	0.10158548793411798
115	0.10193858437735984
116	0.10229290813269878
117	0.10264846346609392
118	0.10300525465833218
119	0.10336328600507994
120	0.10372256181693462
121	0.10408308641947671
122	0.10444486415332181
123	0.10480789937417277
124	0.10517219645287236
125	0.10553775977545568
126	0.10590459374320307
127	0.1062727027726931
128	0.10664209129585571
129	0.10701276376002561
130	0.10738472462799577
131	0.1077579783780712
132	0.10813252950412286
133	0.10850838251564172
134	0.1088855419377931
135	0.10926401231147122
136	0.10964379819335361
137	0.11002490415595637
138	0.11040733478768883
139	0.11079109469290904
140	0.11117618849197913
141	0.11156262082132093
142	0.1119503963334718
143	0.11233951969714066
144	0.11272999559726415
145	0.1131218287350631
146	0.11351502382809915
147	0.11390958561033136
148	0.11430551883217352
149	0.11470282826055103
150	0.11510151867895853
151	0.11550159488751732
152	0.11590306170303327
153	0.11630592395905477
154	0.1167101865059309
155	0.11711585421086987
156	0.11752293195799755
157	0.11793142464841648
158	0.11834133720026448
159	0.11875267454877433
160	0.11916544164633283
161	0.11957964346254062
162	0.11999528498427192
163	0.12041237121573461
164	0.12083090717853048
165	0.12125089791171569
166	0.1216723484718614
167	0.12209526393311465
168	0.12251964938725966
169	0.12294550994377866
170	0.12337285072991401
171	0.12380167689072932
172	0.12423199358917197
173	0.12466380600613483
174	0.12509711934051884
175	0.12553193880929558
176	0.12596826964757007
177	0.1264061171086438
178	0.12684548646407792
179	0.1272863830037569
180	0.12772881203595185
181	0.12817277888738496
182	0.12861828890329302
183	0.1290653474474924
184	0.12951395990244302
185	0.1299641316693137
186	0.13041586816804682
187	0.13086917483742366
188	0.13132405713512998
189	0.13178052053782172
190	0.13223857054119073
191	0.13269821266003118
192	0.13315945242830596
193	0.13362229539921297
194	0.13408674714525248
195	0.13455281325829377
196	0.13502049934964278
197	0.1354898110501095
198	0.13596075401007568
199	0.1364333338995632
200	0.1369075564083019
201	0.1373834272457985
202	0.1378609521414049
203	0.13834013684438765
204	0.1388209871239967
205	0.1393035087695353
206	0.1397877075904292
207	0.1402735894162971
208	0.14076116009702058
209	0.14125042550281447
210	0.14174139152429768
211	0.14223406407256403
212	0.14272844907925344
213	0.1432245524966234
214	0.14372238029762058
215	0.1442219384759526
216	0.14472323304616067
217	0.14522627004369126
218	0.14573105552496954
219	0.14623759556747165
220	0.1467458962697984
221	0.14725596375174826
222	0.14776780415439136
223	0.14828142364014324
224	0.14879682839283914
225	0.14931402461780835
226	0.149833018541949
227	0.1503538164138032
228	0.15087642450363173
229	0.1514008491034903
230	0.15192709652730446
231	0.15245517311094647
232	0.15298508521231088
233	0.15351683921139148
234	0.15405044151035793
235	0.15458589853363297
236	0.1551232167279697
237	0.15566240256252906
238	0.15620346252895814
239	0.1567464031414677
240	0.15729123093691136
241	0.15783795247486343
242	0.15838657433769876
243	0.1589371031306714
244	0.15948954548199426
245	0.16004390804291907
246	0.16060019748781626
247	0.1611584205142555
248	0.16171858384308607
249	0.16228069421851826
250	0.16284475840820387
251	0.16341078320331842
252	0.16397877541864228
253	0.16454874189264332
254	0.16512068948755856
255	0.16569462508947755
256	0.1662705556084246
257	0.16684848797844246
258	0.16742842915767542
259	0.16801038612845343
260	0.168594365897376
261	0.16918037549539636
262	0.16976842197790667
263	0.17035851242482222
264	0.17095065394066744
265	0.17154485365466066
266	0.1721411187208007
267	0.17273945631795248
268	0.17333987364993358
269	0.1739423779456011
270	0.17454697645893852
271	0.17515367646914315
272	0.1757624852807137
273	0.17637341022353845
274	0.17698645865298296
275	0.17760163794997932
276	0.1782189555211144
277	0.17883841879871956
278	0.1794600352409596
279	0.180083812331923
280	0.1807097575817118
281	0.18133787852653202
282	0.18196818272878448
283	0.18260067777715583
284	0.1832353712867099
285	0.18387227089897928
286	0.18451138428205763
287	0.18515271913069148
288	0.18579628316637348
289	0.18644208413743493
290	0.18709012981913922
291	0.18774042801377544
292	0.18839298655075232
293	0.18904781328669243
294	0.18970491610552684
295	0.19036430291859016
296	0.19102598166471538
297	0.19168996031033006
298	0.19235624684955152
299	0.19302484930428387
300	0.19369577572431382
301	0.1943690341874083
302	0.19504463279941123
303	0.19572257969434126
304	0.19640288303448974
305	0.19708555101051897
306	0.1977705918415608
307	0.19845801377531552
308	0.19914782508815146
309	0.19984003408520404
310	0.20053464910047655
311	0.20123167849693965
312	0.20193113066663285
313	0.2026330140307649
314	0.2033373370398156
315	0.20404410817363733
316	0.20475333594155723
317	0.20546502888247964
318	0.20617919556498882
319	0.2068958445874524
320	0.20761498457812433
321	0.20833662419524954
322	0.20906077212716737
323	0.20978743709241687
324	0.21051662783984132
325	0.21124835314869378
326	0.21198262182874264
327	0.21271944272037785
328	0.21345882469471722
329	0.21420077665371326
330	0.21494530753026056
331	0.21569242628830285
332	0.21644214192294153
333	0.2171944634605435
334	0.21794939995885002
335	0.21870696050708577
336	0.2194671542260683
337	0.22022999026831772
338	0.220995477818167
339	0.22176362609187256
340	0.22253444433772518
341	0.22330794183616132
342	0.22408412789987492
343	0.2248630118739295
344	0.22564460313587062
345	0.226428911095839
346	0.2272159451966834
347	0.2280057149140747
348	0.22879822975661981
349	0.22959349926597622
350	0.23039153301696677
351	0.23119234061769503
352	0.23199593170966096
353	0.23280231596787695
354	0.23361150310098436
355	0.23442350285137029
356	0.23523832499528516
357	0.23605597934296008
358	0.23687647573872508
359	0.23769982406112775
360	0.238526034223052
361	0.2393551161718375
362	0.2401870798893995
363	0.24102193539234887
364	0.2418596927321128
365	0.2427003619950558
366	0.24354395330260106
367	0.2443904768113524
368	0.24523994271321659
369	0.24609236123552594
370	0.24694774264116146
371	0.24780609722867647
372	0.24866743533242058
373	0.24953176732266408
374	0.2503991036057228
375	0.25126945462408357
376	0.25214283085652955
377	0.25301924281826677
378	0.2538987010610506
379	0.25478121617331273
380	0.2556667987802888
381	0.25655545954414616
382	0.25744720916411223
383	0.25834205837660357
384	0.2592400179553548
385	0.2601410987115486
386	0.2610453114939457
387	0.2619526671890156
388	0.26286317672106757
389	0.2637768510523821
390	0.264693701183343
391	0.2656137381525701
392	0.2665369730370516
393	0.26746341695227766
394	0.26839308105237447
395	0.26932597653023815
396	0.2702621146176699
397	0.271201506585511
398	0.2721441637437783
399	0.273090097441801
400	0.27403931906835666
401	0.2749918400518087
402	0.2759476718602437
403	0.27690682600161
404	0.27786931402385556
405	0.27883514751506755
406	0.2798043381036115
407	0.2807768974582715
408	0.2817528372883907
409	0.2827321693440122
410	0.28371490541602057
411	0.2847010573362837
412	0.28569063697779545
413	0.2866836562548184
414	0.2876801271230273
415	0.28868006157965354
416	0.28968347166362857
417	0.2906903694557297
418	0.29170076707872533
419	0.29271467669752066
420	0.2937321105193045
421	0.294753080793696
422	0.29577759981289226
423	0.2968056799118162
424	0.2978373334682653
425	0.29887257290306013
426	0.2999114106801948
427	0.30095385930698587
428	0.3019999313342239
429	0.30304963935632406
430	0.30410299601147783
431	0.3051600139818053
432	0.3062207059935077
433	0.3072850848170208
434	0.30835316326716844
435	0.309424954203317
436	0.31050047052953006
437	0.311579725194724
438	0.3126627311928237
439	0.313749501562919
440	0.31484004938942173
441	0.31593438780222327
442	0.31703252997685266
443	0.3181344891346351
444	0.31924027854285114
445	0.32034991151489656
446	0.3214634014104426
447	0.32258076163559674
448	0.3237020056430641
449	0.3248271469323095
450	0.32595619904972006
451	0.327089175588768
452	0.32822609019017457
453	0.3293669565420741
454	0.33051178838017903
455	0.3316605994879451
456	0.33281340369673723
457	0.3339702148859964
458	0.33513104698340623
459	0.3362959139650612
460	0.3374648298556344
461	0.3386378087285471
462	0.33981486470613725
463	0.3409960119598303
464	0.3421812647103094
465	0.3433706372276868
466	0.34456414383167555
467	0.34576179889176195
468	0.3469636168273786
469	0.34816961210807784
470	0.34937979925370627
471	0.3505941928345792
472	0.3518128074716563
473	0.3530356578367177
474	0.3542627586525403
475	0.3554941246930754
476	0.3567297707836264
477	0.35796971180102716
478	0.3592139626738214
479	0.3604625383824423
480	0.3617154539593928
481	0.3629727244894267
482	0.36423436510973006
483	0.3655003910101038
484	0.3667708174331464
485	0.3680456596744372
486	0.36932493308272096
487	0.3706086530600924
488	0.3718968350621815
489	0.3731894945983401
490	0.37448664723182806
491	0.375788308580001
492	0.37709449431449815
493	0.378405220161431
494	0.37972050190157297
495	0.3810403553705488
496	0.38236479645902605
497	0.38369384111290555
498	0.38502750533351393
499	0.386365805177796
500	0.38770875675850835
501	0.3890563762444131
502	0.3904086798604725
503	0.39176568388804467
504	0.3931274046650793
505	0.39449385858631425
506	0.39586506210347333
507	0.397241031725464
508	0.3986217840185765
509	0.40000733560668295
510	0.40139770317143764
511	0.4027929034524778
512	0.40419295324762544
513	0.4055978694130892
514	0.40700766886366735
515	0.4084223685729519
516	0.40984198557353224
517	0.41126653695720083
518	0.4126960398751585
519	0.4141305115382215
520	0.4155699692170281
521	0.4170144302422468
522	0.4184639120047852
523	0.41991843195599904
524	0.42137800760790245
525	0.42284265653337877
526	0.4243123963663922
527	0.4257872448021999
528	0.42726721959756553
529	0.4287523385709723
530	0.4302426196028379
531	0.43173808063573016
532	0.4332387396745824
533	0.43474461478691034
534	0.43625572410303004
535	0.43777208581627575
536	0.4392937181832192
537	0.44082063952388933
538	0.44235286822199266
539	0.44389042272513507
540	0.4454333215450435
541	0.446981583257789
542	0.44853522650401023
543	0.4500942699891383
544	0.4516587324836216
545	0.4532286328231516
546	0.4548039899088902
547	0.4563848227076969
548	0.4579711502523573
549	0.4595629916418121
550	0.46116036604138727
551	0.46276329268302463
552	0.4643717908655135
553	0.4659858799547227
554	0.46760557938383457
555	0.4692309086535779
556	0.4708618873324634
557	0.472498535057019
558	0.4741408715320264
559	0.47578891653075817
560	0.47744268989521615
561	0.4791022115363699
562	0.4807675014343966
563	0.4824385796389218
564	0.48411546626926055
565	0.48579818151465953
566	0.4874867456345409
567	0.489181178958745
568	0.49088150188777613
569	0.4925877348930476
570	0.4942998985171284
571	0.4960180133739907
572	0.4977421001492576
573	0.49947217960045265
574	0.5012082725572494
575	0.5029503999217223
576	0.5046985826685985
577	0.5064528418455103
578	0.5082131985732484
579	0.5099796740460163
580	0.5117522895316856
581	0.5135310663720519
582	0.5153160259830918
583	0.5171071898552205
584	0.5189045795535511
585	0.5207082167181538
586	0.5225181230643164
587	0.5243343203828063
588	0.5261568305401317
589	0.5279856754788066
590	0.5298208772176133
591	0.5316624578518684
592	0.5335104395536885
593	0.5353648445722575
594	0.5372256952340941
595	0.5390930139433208
596	0.5409668231819333
597	0.5428471455100721
598	0.5447340035662929
599	0.5466274200678398
600	0.548527417810919
601	0.5504340196709728
602	0.5523472486029557
603	0.5542671276416095
604	0.556193679901742
605	0.5581269285785044
606	0.5600668969476713
607	0.5620136083659202
608	0.563967086271113
609	0.5659273541825784
610	0.5678944357013948
611	0.5698683545106743
612	0.5718491343758486
613	0.5738367991449542
614	0.57583137274892
615	0.5778328792018554
616	0.5798413426013392
617	0.58185678712871
618	0.5838792370493575
619	0.5859087167130138
620	0.5879452505540477
621	0.589988863091758
622	0.592039578930669
623	0.5940974227608271
624	0.5961624193580974
625	0.5982345935844626
626	0.6003139703883217
627	0.602400574804791
628	0.604494431956005
629	0.6065955670514195
630	0.6087040053881143
631	0.6108197723510983
632	0.6129428934136152
633	0.6150733941374497
634	0.6172113001732359
635	0.6193566372607653
636	0.6215094312292979
637	0.623669707997872
638	0.6258374935756168
639	0.6280128140620652
640	0.6301956956474688
641	0.6323861646131125
642	0.634584247331631
643	0.6367899702673265
644	0.6390033599764877
645	0.6412244431077084
646	0.6434532464022095
647	0.6456897966941606
648	0.6479341209110028
649	0.650186246073773
650	0.6524461992974294
651	0.6547140077911782
652	0.6569896988588001
653	0.6592732998989804
654	0.6615648384056383
655	0.6638643419682574
656	0.6661718382722188
657	0.6684873550991337
658	0.6708109203271782
659	0.6731425619314292
660	0.6754823079842005
661	0.6778301866553814
662	0.6801862262127758
663	0.6825504550224419
664	0.6849229015490346
665	0.6873035943561482
666	0.6896925621066587
667	0.6920898335630717
668	0.6944954375878655
669	0.6969094031438416
670	0.6993317592944709
671	0.7017625352042457
672	0.7042017601390286
673	0.7066494634664077
674	0.7091056746560469
675	0.7115704232800436
676	0.7140437390132836
677	0.7165256516337969
678	0.7190161910231194
679	0.7215153871666493
680	0.7240232701540114
681	0.7265398701794156
682	0.7290652175420246
683	0.7315993426463149
684	0.7341422760024459
685	0.7366940482266247
686	0.7392546900414771
687	0.741824232276415
688	0.7444027058680099
689	0.7469901418603645
690	0.7495865714054848
691	0.7521920257636585
692	0.7548065363038281
693	0.7574301345039712
694	0.7600628519514769
695	0.7627047203435292
696	0.7653557714874851
697	0.7680160373012611
698	0.770685549813714
699	0.7733643411650297
700	0.7760524436071086
701	0.7787498895039529
702	0.7814567113320587
703	0.7841729416808046
704	0.7868986132528464
705	0.7896337588645082
706	0.79237841144618
707	0.7951326040427122
708	0.7978963698138156
709	0.8006697420344574
710	0.8034527540952655
711	0.8062454395029285
712	0.8090478318805983
713	0.8118599649682975
714	0.8146818726233226
715	0.8175135888206547
716	0.8203551476533657
717	0.8232065833330312
718	0.8260679301901401
719	0.8289392226745104
720	0.8318204953557014
721	0.8347117829234323
722	0.8376131201879977
723	0.8405245420806886
724	0.8434460836542123
725	0.8463777800831127
726	0.8493196666641972
727	0.8522717788169583
728	0.8552341520840028
729	0.858206822131477
730	0.8611898247494993
731	0.8641831958525876
732	0.867186971480095
733	0.8702011877966408
734	0.8732258810925483
735	0.8762610877842808
736	0.8793068444148786
737	0.8823631876544021
738	0.8854301543003699
739	0.8885077812782048
740	0.8915961056416759
741	0.894695164573347
742	0.8978049953850216
743	0.9009256355181954
744	0.9040571225445034
745	0.9071994941661758
746	0.91035278821649
747	0.913517042660225
748	0.9166922955941221
749	0.9198785852473391
750	0.9230759499819149
751	0.9262844282932271
752	0.92950405881046
753	0.9327348802970653
754	0.9359769316512325
755	0.9392302519063539
756	0.9424948802314981
757	0.9457708559318778
758	0.9490582184493263
759	0.952357007362771
760	0.9556672623887085
761	0.9589890233816862
762	0.9623223303347782
763	0.9656672233800705
764	0.9690237427891406
765	0.9723919289735461
766	0.9757718224853074
767	0.9791634640173997
768	0.9825668944042393
769	0.9859821546221782
770	0.9894092857899967
771	0.9928483291693961
772	0.9962993261654998
773	0.9997623183273471
774	1.0032373473483978
775	1.00672445506703
776	1.0102236834670484
777	1.013735074678185
778	1.0172586709766107
779	1.02079451478544
780	1.0243426486752458
781	1.0279031153645704
782	1.0314759577204373
783	1.0350612187588724
784	1.0386589416454164
785	1.0422691696956496
786	1.0458919463757088
787	1.0495273153028148
788	1.0531753202457936
789	1.0568360051256074
790	1.060509414015879
791	1.0641955911434269
792	1.0678945808887939
793	1.0716064277867838
794	1.0753311765269982
795	1.0790688719543704
796	1.0828195590697114
797	1.0865832830302458
798	1.0903600891501601
799	1.094150022901145
800	1.0979531299129457
801	1.1017694559739075
802	1.1055990470315322
803	1.1094419491930256
804	1.1132982087258578
805	1.1171678720583174
806	1.1210509857800692
807	1.12494759664272
808	1.1288577515603753
809	1.1327814976102097
810	1.1367188820330294
811	1.1406699522338444
812	1.1446347557824361
813	1.1486133404139334
814	1.152605754029383
815	1.1566120446963315
816	1.1606322606494
817	1.1646664502908655
818	1.168714662191246
819	1.1727769450898815
820	1.1768533478955252
821	1.1809439196869278
822	1.1850487097134326
823	1.1891677673955643
824	1.193301142325629
825	1.1974488842683055
826	1.2016110431612501
827	1.2057876691156928
828	1.2099788124170443
829	1.2141845235255009
830	1.218404853076649
831	1.222639851882079
832	1.2268895709299932
833	1.2311540613858238
834	1.235433374592844
835	1.2397275620727917
836	1.2440366755264838
837	1.2483607668344445
838	1.2526998880575246
839	1.2570540914375332
840	1.261423429397864
841	1.2658079545441248
842	1.2702077196647754
843	1.2746227777317587
844	1.2790531819011421
845	1.2834989855137542
846	1.28796024209583
847	1.2924370053596526
848	1.2969293292042026
849	1.301437267715804
850	1.3059608751687783
851	1.3105002060260975
852	1.3150553149400361
853	1.3196262567528352
854	1.324213086497357
855	1.3288158593977522
856	1.3334346308701202
857	1.3380694565231814
858	1.3427203921589417
859	1.3473874937733685
860	1.3520708175570615
861	1.3567704198959327
862	1.361486357371881
863	1.3662186867634774
864	1.3709674650466475
865	1.3757327493953548
866	1.3805145971822939
867	1.3853130659795756
868	1.3901282135594262
869	1.3949600978948766
870	1.399808777160467
871	1.4046743097329406
872	1.4095567541919525
873	1.4144561693207696
874	1.419372614106983
875	1.424306147743216
876	1.429256829627835
877	1.4342247193656688
878	1.439209876768722
879	1.4442123618568992
880	1.449232234858723
881	1.454269556212064
882	1.459324386564864
883	1.4643967867758703
884	1.469486817915364
885	1.4745945412659
886	1.479720018323042
887	1.4848633107961013
888	1.490024480608885
889	1.4952035899004352
890	1.5004007010257836
891	1.5056158765566956
892	1.5108491792824301
893	1.5161006722104895
894	1.5213704185673838
895	1.5266584817993867
896	1.5319649255733048
897	1.537289813777238
898	1.5426332105213543
899	1.54799518013866
900	1.5533757871857703
901	1.558775096443694
902	1.5641931729186052
903	1.5696300818426336
904	1.5750858886746437
905	1.5805606591010277
906	1.5860544590364918
907	1.591567354624855
908	1.5970994122398394
909	1.6026506984858755
910	1.6082212801989002
911	1.6138112244471607
912	1.619420598532027
913	1.625049469988795
914	1.6306979065875078
915	1.636365976333763
916	1.64205374746954
917	1.6477612884740134
918	1.6534886680643854
919	1.6592359551967055
920	1.665003219066707
921	1.6707905291106382
922	1.6765979550060939
923	1.6824255666728627
924	1.6882734342737606
925	1.6941416282154822
926	1.700030219149443
927	1.7059392779726352
928	1.711868875828476
929	1.7178190841076697
930	1.7237899744490612
931	1.7297816187405042
932	1.7357940891197239
933	1.7418274579751833
934	1.7478817979469614
935	1.753957181927619
936	1.7600536830630849
937	1.766171374753529
938	1.7723103306542531
939	1.778470624676571
940	1.7846523309887043
941	1.7908555240166695
942	1.7970802784451807
943	1.8033266692185417
944	1.8095947715415541
945	1.8158846608804216
946	1.8221964129636532
947	1.8285301037829844
948	1.8348858095942822
949	1.8412636069184722
950	1.8476635725424517
951	1.8540857835200222
952	1.8605303171728087
953	1.8669972510911994
954	1.8734866631352713
955	1.8799986314357349
956	1.8865332343948709
957	1.8930905506874731
958	1.8996706592618011
959	1.9062736393405229
960	1.9128995704216774
961	1.9195485322796229
962	1.9262206049660058
963	1.9329158688107169
964	1.9396344044228655
965	1.946376292691743
966	1.9531416147878025
967	1.9599304521636347
968	1.9667428865549443
969	1.9735789999815412
970	1.980438874748321
971	1.9873225934462626
972	1.9942302389534152
973	2.001161894435904
974	2.008117643348925
975	2.015097569437754
976	2.0221017567387514
977	2.0291302895803778
978	2.0361832525842054
979	2.0432607306659407
980	2.0503628090364443
981	2.0574895732027554
982	2.064641108969127
983	2.0718175024380514
984	2.079018840011304
985	2.086245208390977
986	2.09349669458053
987	2.1007733858858306
988	2.108075369916213
989	2.1154027345855235
990	2.1227555681131887
991	2.1301339590252724
992	2.137537996155539
993	2.144967768646531
994	2.1524233659506327
995	2.1599048778311567
996	2.1674123943634145
997	2.1749460059358117
998	2.1825058032509266
999	2.1900918773266103
1000	2.1977043194970745
1001	2.2053432214139987
1002	2.213008675047631
1003	2.2207007726878905
1004	2.228419606945488
1005	2.2361652707530304
1006	2.2439378573661495
1007	2.251737460364617
1008	2.2595641736534766
1009	2.2674180914641697
1010	2.2752993083556765
1011	2.283207919215645
1012	2.2911440192615453
1013	2.2991077040418038
1014	2.307099069436963
1015	2.3151182116608324
1016	2.323165227261643
1017	2.3312402131232193
1018	2.339343266466134
1019	2.347474484848889
1020	2.3556339661690817
1021	2.363821808664592
1022	2.372038110914754
1023	2.3802829718415572
1024	2.3885564907108217
1025	2.396858767133406
1026	2.405189901066403
